seg,chain,kind,dir,bias,cmd_duty_q15,tick,window_valid,pos,duty_q15,current_raw,vmotor_a,vmotor_b,vbus_raw
6,0,probe,1,0,6553,7,1,2242,6553,188,2255,549,2107
6,0,probe,1,0,6553,8,1,2242,6553,193,2252,549,2105
6,0,probe,1,0,6553,9,1,2242,6553,194,2250,550,2103
6,0,probe,1,0,6553,10,1,2243,6553,195,2251,549,2105
6,0,probe,1,0,6553,11,1,2244,6553,195,2250,550,2103
6,0,probe,1,0,6553,12,1,2242,6553,194,2249,549,2100
6,0,probe,1,0,6553,13,1,2241,6553,197,2249,549,2100
6,0,probe,1,0,6553,14,1,2240,6553,196,2249,549,2101
6,0,probe,1,0,6553,15,1,2242,6553,193,2249,550,2103
6,0,probe,1,0,6553,16,1,2243,6553,186,2254,550,2108
6,0,probe,1,0,6553,17,1,2246,6553,185,2259,551,2112
6,0,probe,1,0,6553,18,1,2245,6553,185,2259,550,2112
6,0,probe,1,0,6553,19,1,2243,6553,183,2256,549,2108
